Effective date ;SPGTCLEN;CL=F;;;;;;;
2011-03-31;1199,18;104.309998;;;;;;;
2011-04-01;1199,06;106.620003;;;;;;;
2011-04-04;1202,59;108.290001;;;;;;;
2011-04-05;1195,9;108.199997;;;;;;;
2011-04-06;1189,41;107.989998;;;;;;;
2011-04-07;1169,07;108.669998;;;;;;;
2011-04-08;1173,4;110.320000;;;;;;;
2011-04-11;1165,88;113.279999;;;;;;;
2011-04-12;1150,59;108.970001;;;;;;;
2011-04-13;1162,86;106.019997;;;;;;;
2011-04-14;1147;107.320000;;;;;;;
2011-04-15;1132;108.449997;;;;;;;
2011-04-18;1097,05;109.430000;;;;;;;
2011-04-19;1101,64;107.519997;;;;;;;
2011-04-20;1117,41;108.449997;;;;;;;
2011-04-21;1121,85;111.370003;;;;;;;
2011-04-22;1121,85;112.339996;;;;;;;
2011-04-25;1120,69;112.150002;;;;;;;
2011-04-26;1129,2;111.889999;;;;;;;
2011-04-27;1126,04;113.129997;;;;;;;
2011-04-28;1137,05;112.820000;;;;;;;
2011-04-29;1171,83;113.889999;;;;;;;
2011-05-02;1159,16;112.980003;;;;;;;
2011-05-03;1140,64;110.680000;;;;;;;
2011-05-04;1114,12;108.779999;;;;;;;
2011-05-05;1100,35;99.760002;;;;;;;
2011-05-06;1106,73;98.110001;;;;;;;
2011-05-09;1099,25;102.440002;;;;;;;
2011-05-10;1111,57;103.690002;;;;;;;
2011-05-11;1102,81;98.589996;;;;;;;
2011-05-12;1105,96;98.809998;;;;;;;
2011-05-13;1092,79;99.360001;;;;;;;
2011-05-16;1085,39;96.980003;;;;;;;
2011-05-17;1073,2;97.570000;;;;;;;
2011-05-18;1081;99.760002;;;;;;;
2011-05-19;1077,86;98.599998;;;;;;;
2011-05-20;1060,92;99.680000;;;;;;;
2011-05-23;1035,39;97.540001;;;;;;;
2011-05-24;1029,39;99.269997;;;;;;;
2011-05-25;1021,73;101.239998;;;;;;;
2011-05-26;1020,58;100.160004;;;;;;;
2011-05-27;1032,03;100.690002;;;;;;;
2011-05-30;1046,46;102.680000;;;;;;;
2011-05-31;1071,21;99.790001;;;;;;;
2011-06-01;1043,95;100.870003;;;;;;;
2011-06-02;1044,05;100.419998;;;;;;;
2011-06-03;1049,18;98.820000;;;;;;;
2011-06-06;1038,23;99.580002;;;;;;;
2011-06-07;1047,87;100.830002;;;;;;;
2011-06-08;1018,11;101.839996;;;;;;;
2011-06-09;1017,01;98.769997;;;;;;;
2011-06-10;1004,58;97.089996;;;;;;;
2011-06-13;1006,87;99.680000;;;;;;;
2011-06-14;1034,26;95.290001;;;;;;;
2011-06-15;1002,84;95.099998;;;;;;;
2011-06-16;994,7;92.800003;;;;;;;
2011-06-17;998,68;93.489998;;;;;;;
2011-06-20;987,68;93.760002;;;;;;;
2011-06-21;1003,13;94.400002;;;;;;;
2011-06-22;1007,71;92.290001;;;;;;;
2011-06-23;993,04;91.160004;;;;;;;
2011-06-24;983,49;90.709999;;;;;;;
2011-06-27;986,95;93.370003;;;;;;;
2011-06-28;1000,75;95.080002;;;;;;;
2011-06-29;1016,68;95.120003;;;;;;;
2011-06-30;1033,42;94.980003;;;;;;;
2011-07-01;1036,94;97.000000;;;;;;;
2011-07-04;1041,78;97.040001;;;;;;;
